customer_key,customerid,is_unknown_customer
CUST_12346,12346,False
CUST_12347,12347,False
CUST_12348,12348,False
CUST_12349,12349,False
CUST_12350,12350,False
CUST_12352,12352,False
CUST_12353,12353,False
CUST_12354,12354,False
CUST_12355,12355,False
CUST_12356,12356,False
CUST_12357,12357,False
CUST_12358,12358,False
CUST_12359,12359,False
CUST_12360,12360,False
CUST_12361,12361,False
CUST_12362,12362,False
CUST_12363,12363,False
CUST_12364,12364,False
CUST_12365,12365,False
CUST_12367,12367,False
CUST_12370,12370,False
CUST_12371,12371,False
CUST_12372,12372,False
CUST_12373,12373,False
CUST_12374,12374,False
CUST_12375,12375,False
CUST_12377,12377,False
CUST_12378,12378,False
CUST_12379,12379,False
CUST_12380,12380,False
CUST_12381,12381,False
CUST_12383,12383,False
CUST_12384,12384,False
CUST_12386,12386,False
CUST_12388,12388,False
CUST_12390,12390,False
CUST_12391,12391,False
CUST_12393,12393,False
CUST_12394,12394,False
CUST_12395,12395,False
CUST_12397,12397,False
CUST_12398,12398,False
CUST_12399,12399,False
CUST_12401,12401,False
CUST_12402,12402,False
CUST_12403,12403,False
CUST_12405,12405,False
CUST_12406,12406,False
CUST_12407,12407,False
CUST_12408,12408,False
CUST_12409,12409,False
CUST_12410,12410,False
CUST_12412,12412,False
CUST_12413,12413,False
CUST_12414,12414,False
CUST_12415,12415,False
CUST_12417,12417,False
CUST_12418,12418,False
CUST_12420,12420,False
CUST_12421,12421,False
CUST_12422,12422,False
CUST_12423,12423,False
CUST_12424,12424,False
CUST_12425,12425,False
CUST_12426,12426,False
CUST_12427,12427,False
CUST_12428,12428,False
CUST_12429,12429,False
CUST_12430,12430,False
CUST_12431,12431,False
CUST_12432,12432,False
CUST_12433,12433,False
CUST_12434,12434,False
CUST_12435,12435,False
CUST_12436,12436,False
CUST_12437,12437,False
CUST_12438,12438,False
CUST_12441,12441,False
CUST_12442,12442,False
CUST_12444,12444,False
CUST_12445,12445,False
CUST_12446,12446,False
CUST_12447,12447,False
CUST_12448,12448,False
CUST_12449,12449,False
CUST_12450,12450,False
CUST_12451,12451,False
